Animal_ID,State,Sex,Age_months,Birth_Weight_kg,Current_Weight_kg,Body_Condition_Score,Frame_Score,Parity,Health_Status,Forage_Type,Dry_Matter_Intake_kg,Crude_Protein_pct,TDN_pct,Water_Intake_L,Mineral_Supplement,Energy_Balance,Avg_Temp_C,Annual_Rainfall_mm,Season,Humidity_pct,Heat_Stress_Index,Altitude_m,Veld_Condition,Herd_Size,Grazing_System,Vaccination_Status,Deworming,Housing_Type,Breeding_Method,Record_Keeping,Avg_Daily_Gain_kg,Calving_Rate_pct,Weaning_Weight_kg,Enteric_CH4_kg,Manure_CH4_kg,Total_CH4_kg,CH4_CO2e_kg,Direct_CO2_kg,N2O_CO2e_kg,Total_CO2e_excl_CH4_kg,Carbon_Seq_kg_CO2,GHG_Gross_CO2e_kg,GHG_Net_CO2e_kg,Carbon_Intensity_kgCO2e_per_kgGain,Intervention_Moringa,Intervention_Tannin,Intervention_Genetic,Intervention_Solar,Num_Interventions,Baseline_Enteric_CH4_kg,Baseline_Manure_CH4_kg,Baseline_Total_CH4_kg,Baseline_Direct_CO2_kg,Baseline_N2O_CO2e_kg,Baseline_Carbon_Seq_kg,Baseline_Gross_GHG_CO2e_kg,Baseline_Net_GHG_CO2e_kg,Baseline_Carbon_Intensity,Int_Enteric_CH4_kg,Int_Manure_CH4_kg,Int_Total_CH4_kg,Int_Direct_CO2_kg,Int_N2O_CO2e_kg,Int_Carbon_Seq_kg,Int_Gross_GHG_CO2e_kg,Int_Net_GHG_CO2e_kg,Int_ADG_kg,Int_Carbon_Intensity,Delta_CH4_kg,Delta_Net_GHG_CO2e_kg,Delta_Pct_Net_GHG_Reduction
BSM-0193,Free State,Cow,50,33.9,444.3,4.1,5,7,Mild Illness,Native Veld,10.33,7.7,66.8,31.5,No,Negative,22.1,336,Autumn,34.9,75.3,1591,Good,184,Rotational,Up to date,Regular,Extensive,AI,,0.92,73.2,187.1,120.0,3.98,123.98,3471.44,147.3,309.5,456.8,900.0,3928.24,3028.24,9.02,No,No,No,No,0,120.0,3.98,123.98,147.3,309.5,900.0,3928.24,3028.24,9.02,120.0,3.98,123.98,147.3,309.5,900.0,3928.24,3028.24,0.92,9.018,0.0,0.0,0.0
BSM-0194,North West,Heifer,18,32.9,163.3,3.1,6,0,Healthy,Crop Residue,4.53,12.6,71.8,13.3,Yes,Positive,24.2,377,Autumn,53.4,80.9,962,Good,227,Continuous,Partial,Occasional,Semi-intensive,Natural mating,Digital,0.88,,208.8,109.21,4.84,114.05,3193.4,286.27,222.1,508.37,900.0,3701.77,2801.77,8.72,No,No,No,No,0,109.21,4.84,114.05,286.27,222.1,900.0,3701.77,2801.77,8.72,109.21,4.84,114.05,286.27,222.1,900.0,3701.77,2801.77,0.88,8.723,0.0,0.0,0.0
BSM-0195,Limpopo,Bull,48,31.2,402.0,2.1,6,0,Healthy,Improved Pasture,10.9,10.0,67.1,42.3,Yes,Positive,29.0,471,Winter,34.1,87.6,723,Poor,121,Rotational,Partial,Regular,Extensive,Natural mating,Digital,0.662,,202.5,120.0,3.88,123.88,3468.64,332.69,424.13,756.82,900.0,4225.46,3325.46,13.76,No,Yes,Yes,No,2,120.0,3.88,123.88,332.69,424.13,900.0,4225.46,3325.46,13.76,81.976,3.88,85.856,313.922,368.898,926.402,3086.788,2160.386,0.6699,8.835,38.024,1165.074,35.03
BSM-0196,Limpopo,Steer,15,32.4,142.2,4.1,3,0,Recovered,Crop Residue,2.79,13.0,56.5,14.1,No,Negative,24.2,567,Winter,64.1,82.0,417,Poor,125,Rotational,Not vaccinated,Occasional,Intensive,Natural mating,Manual,0.576,,174.1,67.6,10.8,78.4,2195.2,303.1,141.13,444.23,126.42,2639.43,2513.01,11.95,No,No,No,No,0,67.6,10.8,78.4,303.1,141.13,126.42,2639.43,2513.01,11.95,67.6,10.8,78.4,303.1,141.13,126.42,2639.43,2513.01,0.576,11.953,0.0,0.0,0.0
BSM-0197,Free State,Steer,9,32.4,88.4,2.1,5,0,Healthy,Mixed,1.92,7.3,55.4,8.4,Yes,Neutral,22.1,523,Winter,69.5,78.7,1728,Good,88,Rotational,Up to date,Regular,Extensive,AI,Manual,0.864,,177.8,46.59,1.0,47.59,1332.52,280.91,54.54,335.45,900.0,1667.97,767.97,2.44,No,No,No,No,0,46.59,1.0,47.59,280.91,54.54,900.0,1667.97,767.97,2.44,46.59,1.0,47.59,280.91,54.54,900.0,1667.97,767.97,0.864,2.435,0.0,0.0,0.0
BSM-0198,Free State,Steer,14,32.6,171.0,3.9,8,0,Healthy,Mixed,3.8,8.2,54.8,15.7,Yes,Negative,19.7,534,Summer,78.1,75.3,1370,Fair,27,Rotational,Partial,Regular,Extensive,AI,Digital,0.936,,180.4,92.74,1.99,94.73,2652.44,258.6,121.25,379.85,900.0,3032.29,2132.29,6.24,No,No,No,No,0,92.74,1.99,94.73,258.6,121.25,900.0,3032.29,2132.29,6.24,92.74,1.99,94.73,258.6,121.25,900.0,3032.29,2132.29,0.936,6.241,0.0,0.0,0.0
BSM-0199,Free State,Heifer,7,28.4,78.4,2.5,8,0,Healthy,Mixed,1.69,13.2,53.0,8.7,No,Neutral,15.1,311,Autumn,37.4,62.9,1331,Good,142,Rotational,Not vaccinated,Regular,Extensive,Natural mating,Manual,0.569,,237.1,41.62,0.68,42.3,1184.4,247.92,86.8,334.72,900.0,1519.12,619.12,2.98,No,No,No,Yes,1,41.62,0.68,42.3,247.92,86.8,900.0,1519.12,619.12,2.98,41.62,0.68,42.3,73.493,86.8,924.48,1344.693,420.213,0.569,2.023,0.0,198.907,32.13
BSM-0200,Free State,Bull,57,32.6,417.4,3.7,4,0,Healthy,Improved Pasture,10.85,8.9,62.1,30.9,Yes,Neutral,17.7,485,Winter,56.6,69.5,1556,Good,120,Strip,Up to date,Regular,Semi-intensive,AI,Digital,1.315,,207.3,120.0,13.45,133.45,3736.6,364.79,375.74,740.53,900.0,4477.13,3577.13,7.45,No,Yes,No,No,1,120.0,13.45,133.45,364.79,375.74,900.0,4477.13,3577.13,7.45,90.632,13.45,104.082,364.79,336.185,900.0,3615.271,2715.271,1.3131,5.665,29.368,861.859,24.09
BSM-0201,North West,Heifer,12,30.7,99.2,3.5,3,0,Healthy,Native Veld,2.31,14.7,63.3,8.6,Yes,Negative,21.7,465,Spring,58.4,76.9,918,Good,20,Rotational,Up to date,Regular,Extensive,Natural mating,Manual,0.913,,237.3,63.02,1.4,64.42,1803.76,188.1,132.13,320.23,900.0,2123.99,1223.99,3.67,No,No,No,No,0,63.02,1.4,64.42,188.1,132.13,900.0,2123.99,1223.99,3.67,63.02,1.4,64.42,188.1,132.13,900.0,2123.99,1223.99,0.913,3.673,0.0,0.0,0.0
BSM-0202,Limpopo,Bull,28,35.1,175.1,2.0,4,0,Healthy,Improved Pasture,4.15,7.5,65.5,12.1,No,Positive,25.4,619,Autumn,76.1,85.3,449,Fair,26,Strip,Not vaccinated,,Semi-intensive,AI,,0.879,,211.0,88.62,5.05,93.67,2622.76,349.41,121.11,470.52,900.0,3093.28,2193.28,6.84,Yes,Yes,Yes,No,3,88.62,5.05,93.67,349.41,121.11,900.0,3093.28,2193.28,6.84,58.171,5.05,63.221,325.133,92.517,939.398,2187.838,1248.44,0.9333,3.665,30.449,944.84,43.08
BSM-0203,Limpopo,Bull,84,32.4,792.8,3.1,8,0,Healthy,Improved Pasture,21.03,8.9,65.0,75.9,No,Neutral,27.7,465,Summer,61.4,88.0,555,Poor,130,Continuous,Up to date,Regular,Extensive,AI,Manual,0.779,,188.4,120.0,8.21,128.21,3589.88,313.41,728.29,1041.7,900.0,4631.58,3731.58,13.12,Yes,Yes,No,No,2,120.0,8.21,128.21,313.41,728.29,900.0,4631.58,3731.58,13.12,84.999,8.21,93.209,313.41,537.353,900.0,3460.615,2560.615,0.8538,8.217,35.001,1170.965,31.38
BSM-0204,Free State,Cow,115,34.5,1091.4,3.8,6,7,Healthy,Mixed,28.44,16.0,56.4,81.9,Yes,Neutral,18.4,453,Autumn,37.3,68.9,1528,Good,205,Continuous,Up to date,Regular,Extensive,Both,Manual,0.364,61.8,164.5,120.0,11.04,131.04,3669.12,288.27,1770.61,2058.88,900.0,5728.0,4828.0,36.34,No,No,Yes,No,1,120.0,11.04,131.04,288.27,1770.61,900.0,5728.0,4828.0,36.34,106.071,11.04,117.111,262.969,1770.61,938.593,5312.687,4374.094,0.364,32.923,13.929,453.906,9.4
BSM-0205,North West,Cow,116,31.1,1166.7,4.5,4,2,Healthy,Native Veld,22.54,10.9,57.3,93.4,No,Positive,21.9,474,Summer,51.8,76.6,993,Good,235,Continuous,Partial,Regular,Semi-intensive,Natural mating,,1.271,63.7,195.0,120.0,15.0,135.0,3780.0,197.62,955.99,1153.61,900.0,4933.61,4033.61,8.69,No,No,No,No,0,120.0,15.0,135.0,197.62,955.99,900.0,4933.61,4033.61,8.69,120.0,15.0,135.0,197.62,955.99,900.0,4933.61,4033.61,1.271,8.695,0.0,0.0,0.0
BSM-0206,Limpopo,Heifer,22,31.2,202.3,4.7,5,0,Mild Illness,Mixed,5.09,13.3,65.0,17.9,Yes,Neutral,30.2,518,Winter,62.7,92.6,492,Good,142,Rotational,Up to date,Regular,Semi-intensive,Natural mating,Manual,0.649,,188.5,120.0,6.25,126.25,3535.0,321.48,263.42,584.9,900.0,4119.9,3219.9,13.59,Yes,No,No,No,1,120.0,6.25,126.25,321.48,263.42,900.0,4119.9,3219.9,13.59,102.258,6.25,108.508,321.48,238.372,900.0,3598.076,2698.076,0.7122,10.379,17.742,521.824,16.21
BSM-0207,Limpopo,Heifer,12,36.5,126.7,3.5,7,0,Healthy,Crop Residue,2.83,8.6,57.7,7.8,Yes,Positive,23.8,521,Summer,65.0,81.3,373,Poor,220,Continuous,Up to date,Occasional,Extensive,Natural mating,,1.007,,187.7,69.74,1.65,71.39,1998.92,226.7,94.7,321.4,900.0,2320.32,1420.32,3.86,Yes,No,No,No,1,69.74,1.65,71.39,226.7,94.7,900.0,2320.32,1420.32,3.86,58.682,1.65,60.332,226.7,84.087,900.0,2000.083,1100.083,1.0704,2.816,11.058,320.237,22.55
BSM-0208,North West,Cow,29,33.3,243.2,4.2,8,7,Healthy,Mixed,5.09,12.5,54.7,15.9,No,Neutral,21.6,425,Summer,73.2,78.2,1268,Good,27,Strip,Up to date,Occasional,Semi-intensive,Natural mating,Manual,0.968,80.7,184.8,120.0,6.89,126.89,3552.92,298.19,247.57,545.76,900.0,4098.68,3198.68,9.05,No,No,No,No,0,120.0,6.89,126.89,298.19,247.57,900.0,4098.68,3198.68,9.05,120.0,6.89,126.89,298.19,247.57,900.0,4098.68,3198.68,0.968,9.053,0.0,0.0,0.0
BSM-0209,Limpopo,Cow,106,29.9,811.7,2.9,8,2,Healthy,Mixed,15.02,13.5,58.2,82.1,No,Neutral,25.3,688,Spring,39.0,81.4,360,Fair,83,Rotational,Up to date,,Semi-intensive,Natural mating,,0.943,72.7,138.7,120.0,15.0,135.0,3780.0,267.67,789.0,1056.67,882.46,4836.67,3954.21,11.49,Yes,No,No,No,1,120.0,15.0,135.0,267.67,789.0,882.46,4836.67,3954.21,11.49,106.968,15.0,121.968,267.67,698.438,882.46,4381.212,3498.752,1.0091,9.499,13.032,455.458,11.52
BSM-0210,Limpopo,Steer,23,34.7,257.3,3.0,5,0,Healthy,Native Veld,5.89,9.8,56.0,22.1,Yes,Negative,26.2,536,Autumn,77.6,86.9,835,Poor,155,Continuous,Partial,Regular,Extensive,Natural mating,,0.878,,221.5,120.0,2.44,122.44,3428.32,208.7,224.6,433.3,448.55,3861.62,3413.07,10.65,Yes,No,No,No,1,120.0,2.44,122.44,208.7,224.6,448.55,3861.62,3413.07,10.65,107.316,2.44,109.756,208.7,205.009,448.55,3486.877,3038.327,0.9241,9.008,12.684,374.743,10.98
BSM-0211,North West,Cow,67,30.4,563.7,2.6,4,1,Recovered,Native Veld,12.15,14.5,51.9,63.1,Yes,Positive,19.5,380,Summer,33.0,70.4,1017,Good,205,Rotational,Up to date,Regular,Extensive,Natural mating,Manual,0.5,54.5,188.7,120.0,4.48,124.48,3485.44,186.99,685.52,872.51,900.0,4357.95,3457.95,18.95,No,No,No,No,0,120.0,4.48,124.48,186.99,685.52,900.0,4357.95,3457.95,18.95,120.0,4.48,124.48,186.99,685.52,900.0,4357.95,3457.95,0.5,18.948,0.0,0.0,0.0
BSM-0212,North West,Cow,34,32.7,324.0,3.7,3,6,Healthy,Native Veld,6.65,12.4,68.3,32.9,Yes,Neutral,23.9,539,Spring,79.2,82.9,1241,Fair,146,Strip,Partial,Regular,Extensive,Both,Manual,0.609,85.9,154.6,120.0,3.07,123.07,3445.96,165.52,320.86,486.38,900.0,3932.34,3032.34,13.64,No,No,No,No,0,120.0,3.07,123.07,165.52,320.86,900.0,3932.34,3032.34,13.64,120.0,3.07,123.07,165.52,320.86,900.0,3932.34,3032.34,0.609,13.642,0.0,0.0,0.0
BSM-0213,North West,Cow,89,37.5,690.5,2.9,6,5,Healthy,Native Veld,17.23,10.5,68.8,41.8,Yes,Positive,26.9,495,Spring,72.9,87.7,1393,Good,68,Rotational,Up to date,Regular,Extensive,Natural mating,Manual,0.877,65.1,202.0,120.0,6.37,126.37,3538.36,175.27,703.96,879.23,900.0,4417.59,3517.59,10.99,No,Yes,Yes,No,2,120.0,6.37,126.37,175.27,703.96,900.0,4417.59,3517.59,10.99,88.328,6.37,94.698,160.713,632.672,944.773,3444.929,2500.156,0.8535,8.025,31.672,1017.434,28.92
BSM-0214,Limpopo,Heifer,6,27.7,87.6,2.3,7,0,Recovered,Improved Pasture,2.25,12.0,54.8,8.5,Yes,Neutral,22.4,439,Spring,63.0,78.6,557,Poor,185,Continuous,Up to date,,Semi-intensive,Both,Manual,1.168,,168.6,47.89,3.2,51.09,1430.52,361.0,105.06,466.06,438.12,1896.58,1458.46,3.42,Yes,No,No,No,1,47.89,3.2,51.09,361.0,105.06,438.12,1896.58,1458.46,3.42,41.982,3.2,45.182,361.0,93.477,438.12,1719.573,1281.453,1.2469,2.816,5.908,177.007,12.14
BSM-0215,Free State,Heifer,23,31.5,149.8,4.1,3,0,Recovered,Crop Residue,3.06,12.2,51.4,9.8,Yes,Neutral,21.5,306,Winter,66.7,77.4,1291,Good,146,Strip,Up to date,Regular,Extensive,Both,Manual,0.775,,204.1,79.12,1.92,81.04,2269.12,231.26,145.26,376.52,900.0,2645.64,1745.64,6.17,No,No,No,No,0,79.12,1.92,81.04,231.26,145.26,900.0,2645.64,1745.64,6.17,79.12,1.92,81.04,231.26,145.26,900.0,2645.64,1745.64,0.775,6.171,0.0,0.0,0.0
BSM-0216,Limpopo,Cow,108,33.2,699.5,4.1,3,7,Healthy,Mixed,12.94,8.5,66.3,74.7,Yes,Neutral,25.8,617,Winter,33.6,81.8,352,Poor,196,Rotational,Up to date,Regular,Extensive,Both,Digital,0.524,91.8,212.0,120.0,3.88,123.88,3468.64,289.06,427.98,717.04,900.0,4185.68,3285.68,17.18,Yes,Yes,No,Yes,3,120.0,3.88,123.88,289.06,427.98,900.0,4185.68,3285.68,17.18,77.431,3.88,81.311,75.514,329.463,912.382,2681.685,1769.303,0.5635,8.602,42.569,1516.377,46.15
BSM-0217,Limpopo,Bull,111,34.3,985.5,3.1,5,0,Healthy,Improved Pasture,26.1,10.6,54.7,117.8,Yes,Negative,28.5,578,Summer,32.1,86.5,570,Poor,222,Rotational,Partial,Occasional,Extensive,Both,Manual,0.397,,215.5,120.0,11.18,131.18,3673.04,336.35,1076.51,1412.86,744.02,5085.9,4341.88,29.96,No,Yes,No,No,1,120.0,11.18,131.18,336.35,1076.51,744.02,5085.9,4341.88,29.96,95.211,11.18,106.391,336.35,920.388,744.02,4235.686,3491.666,0.3957,24.175,24.789,850.214,19.58
BSM-0218,Free State,Heifer,15,28.3,187.7,2.2,4,0,Healthy,Native Veld,3.4,10.1,58.7,17.2,Yes,Negative,15.8,463,Autumn,35.1,64.0,1275,Fair,176,Rotational,Up to date,Occasional,Intensive,AI,Manual,1.029,,186.0,88.95,13.51,102.46,2868.88,326.63,133.62,460.25,501.6,3329.13,2827.53,7.53,No,No,No,Yes,1,88.95,13.51,102.46,326.63,133.62,501.6,3329.13,2827.53,7.53,88.95,13.51,102.46,65.482,133.62,514.73,3067.982,2553.252,1.029,6.798,0.0,274.278,9.7
BSM-0219,North West,Heifer,16,27.4,150.0,3.3,8,0,Healthy,Native Veld,4.11,10.6,51.4,15.1,No,Positive,23.3,468,Winter,34.4,77.4,1318,Fair,238,Rotational,Partial,Regular,Semi-intensive,AI,,0.766,,179.7,109.1,4.61,113.71,3183.88,194.43,169.52,363.95,900.0,3547.83,2647.83,9.47,No,No,No,No,0,109.1,4.61,113.71,194.43,169.52,900.0,3547.83,2647.83,9.47,109.1,4.61,113.71,194.43,169.52,900.0,3547.83,2647.83,0.766,9.47,0.0,0.0,0.0
BSM-0220,Free State,Cow,99,35.3,702.2,3.3,8,0,Healthy,Native Veld,17.05,13.8,55.0,52.1,Yes,Positive,21.7,373,Winter,57.4,76.8,1426,Fair,47,Strip,Up to date,Occasional,Extensive,Natural mating,Manual,0.438,64.4,174.4,120.0,6.68,126.68,3547.04,173.49,915.54,1089.03,900.0,4636.07,3736.07,23.37,No,No,Yes,No,1,120.0,6.68,126.68,173.49,915.54,900.0,4636.07,3736.07,23.37,107.453,6.68,114.133,160.988,915.54,926.866,4272.252,3345.386,0.438,20.926,12.547,390.684,10.46
BSM-0221,North West,Steer,14,29.8,162.8,4.0,5,0,Healthy,Native Veld,3.45,11.3,67.4,14.0,Yes,Neutral,27.3,469,Summer,40.8,85.2,1036,Good,102,Continuous,Up to date,Regular,Extensive,AI,Digital,1.042,,171.9,91.15,1.34,92.49,2589.72,165.15,151.69,316.84,900.0,2906.56,2006.56,5.28,No,No,No,No,0,91.15,1.34,92.49,165.15,151.69,900.0,2906.56,2006.56,5.28,91.15,1.34,92.49,165.15,151.69,900.0,2906.56,2006.56,1.042,5.276,0.0,0.0,0.0
BSM-0222,North West,Cow,53,29.7,479.4,2.9,4,5,Healthy,Improved Pasture,9.81,15.5,67.7,53.4,No,Positive,27.3,479,Summer,73.0,88.4,1125,Good,131,Continuous,Up to date,,Extensive,Both,Digital,0.528,85.3,189.6,120.0,4.07,124.07,3473.96,308.72,591.66,900.38,900.0,4374.34,3474.34,18.03,No,Yes,No,No,1,120.0,4.07,124.07,308.72,591.66,900.0,4374.34,3474.34,18.03,99.063,4.07,103.133,308.72,523.379,900.0,3719.823,2819.823,0.5277,14.64,20.937,654.517,18.84
BSM-0223,Limpopo,Cow,113,36.7,1159.4,4.0,5,5,Healthy,Native Veld,20.97,9.6,54.6,81.2,No,Positive,23.7,592,Winter,52.3,79.9,697,Good,173,Strip,Up to date,Regular,Semi-intensive,Natural mating,Digital,0.86,74.0,184.8,120.0,15.0,135.0,3780.0,193.55,783.33,976.88,900.0,4756.88,3856.88,12.29,Yes,No,Yes,Yes,3,120.0,15.0,135.0,193.55,783.33,900.0,4756.88,3856.88,12.29,82.811,15.0,97.811,29.087,715.399,942.118,3483.194,2541.076,0.9112,7.64,37.189,1315.804,34.12
BSM-0224,North West,Steer,22,32.2,165.6,4.6,8,0,Healthy,Native Veld,3.37,10.7,57.4,12.6,Yes,Neutral,27.2,378,Summer,64.8,87.4,1128,Fair,48,Continuous,Up to date,Regular,Extensive,Natural mating,Digital,0.637,,169.4,90.67,1.4,92.07,2577.96,178.38,140.31,318.69,900.0,2896.65,1996.65,8.59,No,No,No,Yes,1,90.67,1.4,92.07,178.38,140.31,900.0,2896.65,1996.65,8.59,90.67,1.4,92.07,23.339,140.31,920.364,2741.609,1821.245,0.637,7.833,0.0,175.405,8.78
BSM-0225,Limpopo,Cow,51,32.2,532.9,2.7,3,2,Recovered,Native Veld,10.33,14.1,53.0,46.2,Yes,Positive,25.2,642,Spring,62.6,83.6,582,Poor,232,Strip,Up to date,Regular,Intensive,AI,Digital,1.325,84.2,161.4,120.0,15.0,135.0,3780.0,253.48,566.75,820.23,231.94,4600.23,4368.29,9.03,Yes,No,Yes,No,2,120.0,15.0,135.0,253.48,566.75,231.94,4600.23,4368.29,9.03,90.809,15.0,105.809,235.565,512.342,242.039,3710.559,3468.52,1.3983,6.796,29.191,899.77,20.6
BSM-0226,Limpopo,Heifer,18,31.5,133.7,4.9,6,0,Healthy,Improved Pasture,3.23,11.9,51.6,13.7,No,Positive,23.0,572,Summer,46.0,78.0,832,Poor,121,Rotational,Up to date,Regular,Extensive,AI,Manual,0.551,,187.3,72.84,0.96,73.8,2066.4,313.85,149.56,463.41,900.0,2529.81,1629.81,8.1,Yes,No,No,No,1,72.84,0.96,73.8,313.85,149.56,900.0,2529.81,1629.81,8.1,60.237,0.96,61.197,313.85,137.252,900.0,2164.618,1264.618,0.5959,5.814,12.603,365.192,22.41
BSM-0227,Free State,Cow,85,28.3,671.6,3.2,4,0,Recovered,Improved Pasture,13.21,11.9,71.8,55.4,Yes,Negative,22.9,404,Spring,42.2,77.4,1689,Fair,233,Rotational,Up to date,Regular,Semi-intensive,Both,,0.762,65.2,179.1,120.0,15.0,135.0,3780.0,397.79,611.68,1009.47,900.0,4789.47,3889.47,13.98,No,No,No,No,0,120.0,15.0,135.0,397.79,611.68,900.0,4789.47,3889.47,13.98,120.0,15.0,135.0,397.79,611.68,900.0,4789.47,3889.47,0.762,13.984,0.0,0.0,0.0
BSM-0228,North West,Cow,56,34.0,516.7,2.8,7,7,Recovered,Improved Pasture,12.03,7.5,64.4,59.8,No,Positive,22.8,583,Winter,47.1,77.7,1344,Fair,174,Continuous,Up to date,Occasional,Semi-intensive,Natural mating,Manual,1.355,86.1,161.5,120.0,14.17,134.17,3756.76,341.11,351.08,692.19,900.0,4448.95,3548.95,7.18,No,No,No,No,0,120.0,14.17,134.17,341.11,351.08,900.0,4448.95,3548.95,7.18,120.0,14.17,134.17,341.11,351.08,900.0,4448.95,3548.95,1.355,7.176,0.0,0.0,0.0
BSM-0229,Free State,Steer,10,33.2,116.0,3.3,7,0,Healthy,Improved Pasture,2.77,10.6,61.9,7.6,Yes,Positive,15.2,360,Autumn,69.8,66.3,1230,Poor,219,Strip,Up to date,Regular,Semi-intensive,AI,Manual,0.651,,210.8,61.84,3.1,64.94,1818.32,376.69,114.25,490.94,900.0,2309.26,1409.26,5.93,No,No,No,Yes,1,61.84,3.1,64.94,376.69,114.25,900.0,2309.26,1409.26,5.93,61.84,3.1,64.94,138.31,114.25,910.034,2070.88,1160.846,0.651,4.885,0.0,248.414,17.63
BSM-0230,North West,Cow,58,32.5,588.8,2.3,3,2,Healthy,Mixed,12.35,9.4,66.8,48.4,Yes,Positive,22.8,500,Spring,59.3,79.0,906,Poor,187,Rotational,Not vaccinated,Occasional,Extensive,Natural mating,Manual,1.009,60.5,234.3,120.0,4.82,124.82,3494.96,251.11,451.72,702.83,578.48,4197.79,3619.31,9.83,No,No,No,No,0,120.0,4.82,124.82,251.11,451.72,578.48,4197.79,3619.31,9.83,120.0,4.82,124.82,251.11,451.72,578.48,4197.79,3619.31,1.009,9.827,0.0,0.0,0.0
BSM-0231,Free State,Steer,8,31.7,73.8,2.4,5,0,Healthy,Native Veld,1.35,16.0,68.5,7.6,Yes,Negative,15.3,542,Autumn,42.7,63.8,1449,Fair,257,Strip,Up to date,Regular,Semi-intensive,Both,,0.648,,214.1,38.58,0.69,39.27,1099.56,231.73,84.05,315.78,900.0,1415.34,515.34,2.18,No,No,No,No,0,38.58,0.69,39.27,231.73,84.05,900.0,1415.34,515.34,2.18,38.58,0.69,39.27,231.73,84.05,900.0,1415.34,515.34,0.648,2.179,0.0,0.0,0.0
BSM-0232,North West,Cow,57,31.1,499.2,3.2,5,4,Healthy,Improved Pasture,9.17,9.8,67.7,36.7,No,Negative,20.4,356,Winter,70.9,75.8,1252,Good,178,Rotational,Up to date,Regular,Extensive,Natural mating,,0.422,58.4,172.0,120.0,4.69,124.69,3491.32,307.0,349.68,656.68,900.0,4148.0,3248.0,21.09,No,Yes,Yes,No,2,120.0,4.69,124.69,307.0,349.68,900.0,4148.0,3248.0,21.09,85.424,4.69,90.114,282.291,302.071,944.384,3107.554,2163.17,0.4119,14.388,34.576,1084.83,33.4
BSM-0233,North West,Cow,64,34.7,661.9,4.3,8,5,Healthy,Crop Residue,12.09,15.0,50.4,65.8,No,Neutral,20.7,477,Summer,32.7,72.5,1382,Fair,212,Continuous,Up to date,,Extensive,Both,Digital,0.99,54.2,188.7,120.0,4.69,124.69,3491.32,215.86,705.65,921.51,900.0,4412.83,3512.83,9.72,No,Yes,No,No,1,120.0,4.69,124.69,215.86,705.65,900.0,4412.83,3512.83,9.72,101.447,4.69,106.137,215.86,590.096,900.0,3777.792,2877.792,1.0062,7.836,18.553,635.038,18.08
BSM-0234,North West,Bull,74,31.6,630.2,4.7,3,0,Healthy,Improved Pasture,16.0,13.1,54.1,44.0,Yes,Positive,27.2,405,Spring,65.0,87.5,1166,Fair,186,Rotational,Up to date,Occasional,Semi-intensive,Natural mating,Digital,1.308,,228.5,120.0,15.0,135.0,3780.0,389.78,815.58,1205.36,900.0,4985.36,4085.36,8.56,No,Yes,No,Yes,2,120.0,15.0,135.0,389.78,815.58,900.0,4985.36,4085.36,8.56,95.473,15.0,110.473,153.028,695.499,927.894,3941.771,3013.877,1.2985,6.359,24.527,1071.483,26.23
BSM-0235,Limpopo,Heifer,20,31.8,157.5,4.0,8,0,Recovered,Mixed,3.34,10.1,64.4,10.0,Yes,Negative,26.3,616,Spring,52.0,84.5,827,Fair,245,Rotational,Up to date,Regular,Intensive,Natural mating,Digital,0.798,,160.7,80.75,12.94,93.69,2623.32,369.9,131.26,501.16,776.59,3124.48,2347.89,8.06,Yes,No,No,No,1,80.75,12.94,93.69,369.9,131.26,776.59,3124.48,2347.89,8.06,72.506,12.94,85.446,369.9,118.11,776.59,2880.498,2103.908,0.853,6.757,8.244,243.982,10.39
BSM-0236,Free State,Cow,105,33.6,1032.3,2.3,8,6,Healthy,Native Veld,26.8,11.9,58.3,69.4,Yes,Neutral,20.3,354,Winter,66.6,75.2,1674,Poor,270,Rotational,Not vaccinated,Regular,Semi-intensive,Natural mating,Manual,0.989,51.6,209.6,120.0,15.0,135.0,3780.0,257.72,1240.95,1498.67,587.23,5278.67,4691.44,13.0,No,No,No,No,0,120.0,15.0,135.0,257.72,1240.95,587.23,5278.67,4691.44,13.0,120.0,15.0,135.0,257.72,1240.95,587.23,5278.67,4691.44,0.989,12.996,0.0,0.0,0.0
BSM-0237,Limpopo,Steer,13,32.6,124.0,4.0,7,0,Healthy,Improved Pasture,2.77,14.6,71.6,14.4,Yes,Negative,25.7,448,Winter,76.4,85.9,781,Poor,299,Strip,Partial,Regular,Extensive,Natural mating,Manual,0.97,,153.8,57.38,1.22,58.6,1640.8,315.65,157.36,473.01,880.51,2113.81,1233.3,3.48,Yes,No,No,No,1,57.38,1.22,58.6,315.65,157.36,880.51,2113.81,1233.3,3.48,51.316,1.22,52.536,315.65,140.417,880.51,1927.075,1046.565,1.0497,2.732,6.064,186.735,15.14
BSM-0238,Limpopo,Cow,98,36.9,699.7,3.9,8,1,Healthy,Native Veld,15.76,15.0,64.6,65.1,No,Neutral,27.9,522,Summer,67.5,89.0,750,Good,240,Rotational,Up to date,Regular,Semi-intensive,AI,Digital,0.757,72.8,232.1,120.0,15.0,135.0,3780.0,180.15,919.86,1100.01,900.0,4880.01,3980.01,14.4,Yes,No,Yes,No,2,120.0,15.0,135.0,180.15,919.86,900.0,4880.01,3980.01,14.4,87.278,15.0,102.278,163.25,821.937,942.252,3848.971,2906.719,0.8195,9.718,32.722,1073.291,26.97
